waveform	[0]		[1]	
t0	2018-03-21  12:31:36,208121		2018-03-21  12:31:36,208121	
delta t	2,000000E-6		2,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2018-03-21  12:31:36,208323	5,411505E-1	2018-03-21  12:31:36,208323	1,266180E-2
2018-03-21  12:31:36,208325	5,411505E-1	2018-03-21  12:31:36,208325	1,266180E-2
2018-03-21  12:31:36,208327	5,411505E-1	2018-03-21  12:31:36,208327	1,266180E-2
2018-03-21  12:31:36,208329	5,411505E-1	2018-03-21  12:31:36,208329	1,266180E-2
2018-03-21  12:31:36,208331	5,411505E-1	2018-03-21  12:31:36,208331	1,266180E-2
2018-03-21  12:31:36,208333	5,411505E-1	2018-03-21  12:31:36,208333	1,687118E-2
2018-03-21  12:31:36,208335	5,411505E-1	2018-03-21  12:31:36,208335	1,266180E-2
2018-03-21  12:31:36,208337	5,411505E-1	2018-03-21  12:31:36,208337	1,266180E-2
2018-03-21  12:31:36,208339	5,411505E-1	2018-03-21  12:31:36,208339	1,266180E-2
2018-03-21  12:31:36,208341	5,411505E-1	2018-03-21  12:31:36,208341	1,266180E-2
2018-03-21  12:31:36,208343	5,411505E-1	2018-03-21  12:31:36,208343	1,687118E-2
2018-03-21  12:31:36,208345	5,411505E-1	2018-03-21  12:31:36,208345	1,266180E-2
2018-03-21  12:31:36,208347	5,411505E-1	2018-03-21  12:31:36,208347	1,266180E-2
2018-03-21  12:31:36,208349	5,411505E-1	2018-03-21  12:31:36,208349	1,266180E-2
2018-03-21  12:31:36,208351	5,411505E-1	2018-03-21  12:31:36,208351	1,266180E-2
2018-03-21  12:31:36,208353	5,411505E-1	2018-03-21  12:31:36,208353	1,266180E-2
2018-03-21  12:31:36,208355	5,411505E-1	2018-03-21  12:31:36,208355	1,266180E-2
2018-03-21  12:31:36,208357	5,411505E-1	2018-03-21  12:31:36,208357	1,266180E-2
2018-03-21  12:31:36,208359	5,411505E-1	2018-03-21  12:31:36,208359	1,266180E-2
2018-03-21  12:31:36,208361	5,411505E-1	2018-03-21  12:31:36,208361	1,266180E-2
2018-03-21  12:31:36,208363	5,411505E-1	2018-03-21  12:31:36,208363	1,266180E-2
2018-03-21  12:31:36,208365	5,411505E-1	2018-03-21  12:31:36,208365	1,266180E-2
2018-03-21  12:31:36,208367	5,411505E-1	2018-03-21  12:31:36,208367	1,266180E-2
2018-03-21  12:31:36,208369	5,411505E-1	2018-03-21  12:31:36,208369	1,266180E-2
2018-03-21  12:31:36,208371	5,411505E-1	2018-03-21  12:31:36,208371	1,687118E-2
2018-03-21  12:31:36,208373	5,411505E-1	2018-03-21  12:31:36,208373	1,266180E-2
2018-03-21  12:31:36,208375	5,411505E-1	2018-03-21  12:31:36,208375	1,266180E-2
2018-03-21  12:31:36,208377	5,411505E-1	2018-03-21  12:31:36,208377	1,266180E-2
2018-03-21  12:31:36,208379	5,411505E-1	2018-03-21  12:31:36,208379	1,266180E-2
2018-03-21  12:31:36,208381	5,411505E-1	2018-03-21  12:31:36,208381	1,266180E-2
2018-03-21  12:31:36,208383	5,411505E-1	2018-03-21  12:31:36,208383	1,687118E-2
2018-03-21  12:31:36,208385	5,411505E-1	2018-03-21  12:31:36,208385	1,687118E-2
2018-03-21  12:31:36,208387	5,411505E-1	2018-03-21  12:31:36,208387	1,266180E-2
2018-03-21  12:31:36,208389	5,411505E-1	2018-03-21  12:31:36,208389	1,266180E-2
2018-03-21  12:31:36,208391	5,411505E-1	2018-03-21  12:31:36,208391	1,266180E-2
2018-03-21  12:31:36,208393	5,411505E-1	2018-03-21  12:31:36,208393	1,266180E-2
2018-03-21  12:31:36,208395	5,411505E-1	2018-03-21  12:31:36,208395	1,266180E-2
2018-03-21  12:31:36,208397	5,411505E-1	2018-03-21  12:31:36,208397	1,687118E-2
2018-03-21  12:31:36,208399	5,411505E-1	2018-03-21  12:31:36,208399	1,266180E-2
2018-03-21  12:31:36,208401	5,411505E-1	2018-03-21  12:31:36,208401	1,266180E-2
2018-03-21  12:31:36,208403	5,411505E-1	2018-03-21  12:31:36,208403	1,687118E-2
2018-03-21  12:31:36,208405	5,411505E-1	2018-03-21  12:31:36,208405	1,266180E-2
2018-03-21  12:31:36,208407	5,411505E-1	2018-03-21  12:31:36,208407	1,266180E-2
2018-03-21  12:31:36,208409	5,411505E-1	2018-03-21  12:31:36,208409	1,266180E-2
2018-03-21  12:31:36,208411	5,411505E-1	2018-03-21  12:31:36,208411	1,687118E-2
2018-03-21  12:31:36,208413	5,411505E-1	2018-03-21  12:31:36,208413	1,687118E-2
2018-03-21  12:31:36,208415	5,411505E-1	2018-03-21  12:31:36,208415	1,266180E-2
2018-03-21  12:31:36,208417	5,411505E-1	2018-03-21  12:31:36,208417	1,266180E-2
2018-03-21  12:31:36,208419	5,411505E-1	2018-03-21  12:31:36,208419	1,266180E-2
2018-03-21  12:31:36,208421	5,411505E-1	2018-03-21  12:31:36,208421	1,266180E-2
2018-03-21  12:31:36,208423	5,411505E-1	2018-03-21  12:31:36,208423	1,266180E-2
2018-03-21  12:31:36,208425	5,411505E-1	2018-03-21  12:31:36,208425	1,266180E-2
2018-03-21  12:31:36,208427	5,411505E-1	2018-03-21  12:31:36,208427	8,452420E-3
2018-03-21  12:31:36,208429	5,411505E-1	2018-03-21  12:31:36,208429	1,266180E-2
2018-03-21  12:31:36,208431	5,411505E-1	2018-03-21  12:31:36,208431	1,687118E-2
2018-03-21  12:31:36,208433	5,411505E-1	2018-03-21  12:31:36,208433	1,266180E-2
2018-03-21  12:31:36,208435	5,411505E-1	2018-03-21  12:31:36,208435	1,266180E-2
2018-03-21  12:31:36,208437	5,411505E-1	2018-03-21  12:31:36,208437	1,266180E-2
2018-03-21  12:31:36,208439	5,411505E-1	2018-03-21  12:31:36,208439	1,266180E-2
2018-03-21  12:31:36,208441	5,411505E-1	2018-03-21  12:31:36,208441	1,266180E-2
2018-03-21  12:31:36,208443	5,411505E-1	2018-03-21  12:31:36,208443	1,266180E-2
2018-03-21  12:31:36,208445	5,411505E-1	2018-03-21  12:31:36,208445	1,266180E-2
2018-03-21  12:31:36,208447	5,411505E-1	2018-03-21  12:31:36,208447	1,266180E-2
2018-03-21  12:31:36,208449	5,411505E-1	2018-03-21  12:31:36,208449	1,266180E-2
2018-03-21  12:31:36,208451	5,411505E-1	2018-03-21  12:31:36,208451	1,687118E-2
2018-03-21  12:31:36,208453	5,411505E-1	2018-03-21  12:31:36,208453	1,266180E-2
2018-03-21  12:31:36,208455	5,411505E-1	2018-03-21  12:31:36,208455	1,266180E-2
2018-03-21  12:31:36,208457	5,411505E-1	2018-03-21  12:31:36,208457	1,266180E-2
2018-03-21  12:31:36,208459	5,411505E-1	2018-03-21  12:31:36,208459	1,266180E-2
2018-03-21  12:31:36,208461	5,411505E-1	2018-03-21  12:31:36,208461	1,687118E-2
2018-03-21  12:31:36,208463	5,411505E-1	2018-03-21  12:31:36,208463	1,687118E-2
2018-03-21  12:31:36,208465	5,411505E-1	2018-03-21  12:31:36,208465	1,266180E-2
2018-03-21  12:31:36,208467	5,411505E-1	2018-03-21  12:31:36,208467	1,266180E-2
2018-03-21  12:31:36,208469	5,411505E-1	2018-03-21  12:31:36,208469	1,687118E-2
2018-03-21  12:31:36,208471	5,411505E-1	2018-03-21  12:31:36,208471	1,687118E-2
2018-03-21  12:31:36,208473	5,411505E-1	2018-03-21  12:31:36,208473	1,266180E-2
2018-03-21  12:31:36,208475	5,411505E-1	2018-03-21  12:31:36,208475	1,266180E-2
2018-03-21  12:31:36,208477	5,411505E-1	2018-03-21  12:31:36,208477	1,266180E-2
2018-03-21  12:31:36,208479	5,411505E-1	2018-03-21  12:31:36,208479	1,687118E-2
2018-03-21  12:31:36,208481	5,411505E-1	2018-03-21  12:31:36,208481	1,687118E-2
2018-03-21  12:31:36,208483	5,411505E-1	2018-03-21  12:31:36,208483	1,266180E-2
2018-03-21  12:31:36,208485	5,411505E-1	2018-03-21  12:31:36,208485	1,687118E-2
2018-03-21  12:31:36,208487	5,411505E-1	2018-03-21  12:31:36,208487	1,687118E-2
2018-03-21  12:31:36,208489	5,411505E-1	2018-03-21  12:31:36,208489	1,687118E-2
2018-03-21  12:31:36,208491	5,411505E-1	2018-03-21  12:31:36,208491	1,687118E-2
2018-03-21  12:31:36,208493	5,411505E-1	2018-03-21  12:31:36,208493	1,687118E-2
2018-03-21  12:31:36,208495	5,411505E-1	2018-03-21  12:31:36,208495	1,266180E-2
2018-03-21  12:31:36,208497	5,411505E-1	2018-03-21  12:31:36,208497	1,266180E-2
2018-03-21  12:31:36,208499	5,411505E-1	2018-03-21  12:31:36,208499	1,687118E-2
2018-03-21  12:31:36,208501	5,411505E-1	2018-03-21  12:31:36,208501	1,266180E-2
2018-03-21  12:31:36,208503	5,411505E-1	2018-03-21  12:31:36,208503	1,266180E-2
2018-03-21  12:31:36,208505	5,411505E-1	2018-03-21  12:31:36,208505	1,266180E-2
2018-03-21  12:31:36,208507	5,411505E-1	2018-03-21  12:31:36,208507	1,266180E-2
2018-03-21  12:31:36,208509	5,411505E-1	2018-03-21  12:31:36,208509	1,687118E-2
2018-03-21  12:31:36,208511	5,411505E-1	2018-03-21  12:31:36,208511	1,687118E-2
2018-03-21  12:31:36,208513	5,411505E-1	2018-03-21  12:31:36,208513	1,266180E-2
2018-03-21  12:31:36,208515	5,411505E-1	2018-03-21  12:31:36,208515	1,266180E-2
2018-03-21  12:31:36,208517	5,411505E-1	2018-03-21  12:31:36,208517	8,452420E-3
2018-03-21  12:31:36,208519	5,411505E-1	2018-03-21  12:31:36,208519	8,452420E-3
2018-03-21  12:31:36,208521	5,411505E-1	2018-03-21  12:31:36,208521	1,266180E-2
2018-03-21  12:31:36,208523	5,411505E-1	2018-03-21  12:31:36,208523	1,266180E-2
2018-03-21  12:31:36,208525	5,411505E-1	2018-03-21  12:31:36,208525	1,266180E-2
2018-03-21  12:31:36,208527	5,411505E-1	2018-03-21  12:31:36,208527	1,266180E-2
2018-03-21  12:31:36,208529	5,411505E-1	2018-03-21  12:31:36,208529	1,266180E-2
2018-03-21  12:31:36,208531	5,411505E-1	2018-03-21  12:31:36,208531	8,452420E-3
2018-03-21  12:31:36,208533	5,411505E-1	2018-03-21  12:31:36,208533	1,266180E-2
2018-03-21  12:31:36,208535	5,411505E-1	2018-03-21  12:31:36,208535	1,266180E-2
2018-03-21  12:31:36,208537	5,411505E-1	2018-03-21  12:31:36,208537	1,266180E-2
2018-03-21  12:31:36,208539	5,112902E-1	2018-03-21  12:31:36,208539	8,452420E-3
2018-03-21  12:31:36,208541	5,112902E-1	2018-03-21  12:31:36,208541	3,366152E-5
2018-03-21  12:31:36,208543	5,070245E-1	2018-03-21  12:31:36,208543	-8,385097E-3
2018-03-21  12:31:36,208545	5,027587E-1	2018-03-21  12:31:36,208545	-8,385097E-3
2018-03-21  12:31:36,208547	5,027587E-1	2018-03-21  12:31:36,208547	-1,680386E-2
2018-03-21  12:31:36,208549	4,984929E-1	2018-03-21  12:31:36,208549	-1,680386E-2
2018-03-21  12:31:36,208551	5,027587E-1	2018-03-21  12:31:36,208551	-2,522261E-2
2018-03-21  12:31:36,208553	5,112902E-1	2018-03-21  12:31:36,208553	-2,943199E-2
2018-03-21  12:31:36,208555	5,027587E-1	2018-03-21  12:31:36,208555	-3,364137E-2
2018-03-21  12:31:36,208557	4,984929E-1	2018-03-21  12:31:36,208557	-3,785075E-2
2018-03-21  12:31:36,208559	4,899614E-1	2018-03-21  12:31:36,208559	-3,785075E-2
2018-03-21  12:31:36,208561	4,942272E-1	2018-03-21  12:31:36,208561	-4,626951E-2
2018-03-21  12:31:36,208563	4,984929E-1	2018-03-21  12:31:36,208563	-5,047889E-2
2018-03-21  12:31:36,208565	4,984929E-1	2018-03-21  12:31:36,208565	-5,047889E-2
2018-03-21  12:31:36,208567	4,984929E-1	2018-03-21  12:31:36,208567	-5,468827E-2
2018-03-21  12:31:36,208569	4,899614E-1	2018-03-21  12:31:36,208569	-6,310703E-2
2018-03-21  12:31:36,208571	4,814299E-1	2018-03-21  12:31:36,208571	-6,731641E-2
2018-03-21  12:31:36,208573	4,942272E-1	2018-03-21  12:31:36,208573	-6,731641E-2
2018-03-21  12:31:36,208575	4,899614E-1	2018-03-21  12:31:36,208575	-7,152578E-2
2018-03-21  12:31:36,208577	4,899614E-1	2018-03-21  12:31:36,208577	-7,573516E-2
2018-03-21  12:31:36,208579	4,942272E-1	2018-03-21  12:31:36,208579	-7,994454E-2
2018-03-21  12:31:36,208581	4,942272E-1	2018-03-21  12:31:36,208581	-8,836330E-2
2018-03-21  12:31:36,208583	4,899614E-1	2018-03-21  12:31:36,208583	-9,257268E-2
2018-03-21  12:31:36,208585	4,942272E-1	2018-03-21  12:31:36,208585	-9,257268E-2
