Oscilloscope data: SCP 

Time base: 0,002402 seconds per division
Time offset: 0,000000 seconds
Channel A sensitivity : 2,000000 volts per division
Channel A offset: 0,000000 volts
Channel A color: 255
Channel B sensitivity : 0,500000 volts per division
Channel B offset: 0,000000 volts
Channel B color: 255
Channel A connected: yes
Channel B connected: yes

Column 1  Time (S)
Column 2  Channel_A Voltage(V)
Column 3  Channel_B Voltage(V)

Time                  Channel_A    Channel_B
--------------------------------------------
 1,311668146486e-003  2,0000e+000  6,1573e-001
 1,321668146486e-003  2,0000e+000  6,0500e-001
 1,331668146486e-003  2,0000e+000  5,9436e-001
 1,341668146486e-003  2,0000e+000  5,8378e-001
 1,351668146486e-003  2,0000e+000  5,7329e-001
 1,361668146486e-003  2,0000e+000  5,6287e-001
 1,371668146486e-003  2,0000e+000  5,5254e-001
 1,381668146486e-003  2,0000e+000  5,4228e-001
 1,391668146486e-003  2,0000e+000  5,3212e-001
 1,401668146486e-003  2,0000e+000  5,2204e-001
 1,411668146486e-003  2,0000e+000  5,1205e-001
 1,421668146486e-003  2,0000e+000  5,0215e-001
 1,431668146486e-003  2,0000e+000  4,9234e-001
 1,441668146486e-003  2,0000e+000  4,8262e-001
 1,451668146486e-003  2,0000e+000  4,7300e-001
 1,461668146486e-003  2,0000e+000  4,6347e-001
 1,471668146486e-003  2,0000e+000  4,5404e-001
 1,481668146486e-003  2,0000e+000  4,4470e-001
 1,491668146486e-003  2,0000e+000  4,3547e-001
 1,501668146486e-003  2,0000e+000  4,2633e-001
 1,511668146486e-003  2,0000e+000  4,1729e-001
 1,521668146486e-003  2,0000e+000  4,0835e-001
 1,531668146486e-003  2,0000e+000  3,9952e-001
 1,541668146486e-003  2,0000e+000  3,9078e-001
 1,551668146486e-003  2,0000e+000  3,8215e-001
 1,561668146486e-003  2,0000e+000  3,7363e-001
 1,571668146486e-003  2,0000e+000  3,6520e-001
 1,581668146486e-003  2,0000e+000  3,5688e-001
 1,591668146486e-003  2,0000e+000  3,4867e-001
 1,601668146486e-003  2,0000e+000  3,4056e-001
 1,611668146486e-003  2,0000e+000  3,3255e-001
 1,621668146486e-003  2,0000e+000  3,2465e-001
 1,631668146486e-003  2,0000e+000  3,1685e-001
 1,641668146486e-003  2,0000e+000  3,0917e-001
 1,651668146486e-003  2,0000e+000  3,0158e-001
 1,661668146486e-003  2,0000e+000  2,9410e-001
 1,671668146486e-003  2,0000e+000  2,8673e-001
 1,681668146486e-003  2,0000e+000  2,7947e-001
 1,691668146486e-003  2,0000e+000  2,7231e-001
 1,701668146486e-003  2,0000e+000  2,6525e-001
 1,711668146486e-003  2,0000e+000  2,5830e-001
 1,721668146486e-003  2,0000e+000  2,5146e-001
 1,731668146486e-003  2,0000e+000  2,4472e-001
 1,741668146486e-003  2,0000e+000  2,3808e-001
 1,751668146486e-003  2,0000e+000  2,3155e-001
 1,761668146486e-003  2,0000e+000  2,2512e-001
 1,771668146486e-003  2,0000e+000  2,1880e-001
 1,781668146486e-003  2,0000e+000  2,1258e-001
 1,791668146486e-003  2,0000e+000  2,0646e-001
 1,801668146486e-003  2,0000e+000  2,0044e-001
 1,811668146486e-003  2,0000e+000  1,9453e-001
 1,821668146486e-003  2,0000e+000  1,8872e-001
 1,831668146486e-003  2,0000e+000  1,8300e-001
 1,841668146486e-003  2,0000e+000  1,7739e-001
 1,851668146486e-003  2,0000e+000  1,7188e-001
 1,861668146486e-003  2,0000e+000  1,6646e-001
 1,871668146486e-003  2,0000e+000  1,6115e-001
 1,881668146486e-003  2,0000e+000  1,5593e-001
 1,891668146486e-003  2,0000e+000  1,5081e-001
 1,901668146486e-003  2,0000e+000  1,4578e-001
 1,911668146486e-003  2,0000e+000  1,4086e-001
 1,921668146486e-003  2,0000e+000  1,3602e-001
 1,931668146486e-003  2,0000e+000  1,3128e-001
 1,941668146486e-003  2,0000e+000  1,2663e-001
 1,951668146486e-003  2,0000e+000  1,2208e-001
 1,961668146486e-003  2,0000e+000  1,1761e-001
 1,971668146486e-003  2,0000e+000  1,1324e-001
 1,981668146486e-003  2,0000e+000  1,0896e-001
 1,991668146486e-003  2,0000e+000  1,0476e-001
 2,001668146486e-003  2,0000e+000  1,0066e-001
 2,011668146486e-003  2,0000e+000  9,6641e-002
 2,021668146486e-003  2,0000e+000  9,2710e-002
 2,031668146486e-003  2,0000e+000  8,8865e-002
 2,041668146486e-003  2,0000e+000  8,5104e-002
 2,051668146486e-003  2,0000e+000  8,1427e-002
 2,061668146486e-003  2,0000e+000  7,7833e-002
 2,071668146486e-003  2,0000e+000  7,4321e-002
 2,081668146486e-003  2,0000e+000  7,0890e-002
 2,091668146486e-003  2,0000e+000  6,7540e-002
 2,101668146486e-003  2,0000e+000  6,4269e-002
 2,111668146486e-003  2,0000e+000  6,1076e-002
 2,121668146486e-003  2,0000e+000  5,7960e-002
 2,131668146486e-003  2,0000e+000  5,4921e-002
 2,141668146486e-003  2,0000e+000  5,1958e-002
 2,151668146486e-003  2,0000e+000  4,9069e-002
 2,161668146486e-003  2,0000e+000  4,6253e-002
 2,171668146486e-003  2,0000e+000  4,3510e-002
 2,181668146486e-003  2,0000e+000  4,0839e-002
 2,191668146486e-003  2,0000e+000  3,8239e-002
 2,201668146486e-003  2,0000e+000  3,5708e-002
 2,211668146486e-003  2,0000e+000  3,3246e-002
 2,221668146486e-003  2,0000e+000  3,0852e-002
 2,231668146486e-003  2,0000e+000  2,8524e-002
 2,241668146486e-003  2,0000e+000  2,6263e-002
 2,251668146486e-003  2,0000e+000  2,4066e-002
 2,261668146486e-003  2,0000e+000  2,1934e-002
 2,271668146486e-003  2,0000e+000  1,9864e-002
 2,281668146486e-003  2,0000e+000  1,7856e-002
 2,291668146486e-003  2,0000e+000  1,5910e-002
 2,301668146486e-003  2,0000e+000  1,4023e-002
 2,311668146486e-003  2,0000e+000  1,2196e-002
 2,321668146486e-003  2,0000e+000  1,0427e-002
 2,331668146486e-003  2,0000e+000  8,7148e-003
 2,341668146486e-003  2,0000e+000  7,0592e-003
 2,351668146486e-003  2,0000e+000  5,4591e-003
 2,361668146486e-003  2,0000e+000  3,9134e-003
 2,371668146486e-003  2,0000e+000  2,4212e-003
 2,381668146486e-003  2,0000e+000  9,8172e-004
 2,391668146486e-003  2,0000e+000 -4,0611e-004
 2,401668146486e-003  2,0000e+000 -1,7432e-003
 2,411668146486e-003  2,0000e+000 -3,0303e-003
 2,421668146486e-003  2,0000e+000 -4,2685e-003
 2,431668146486e-003  2,0000e+000 -5,4586e-003
 2,441668146486e-003  2,0000e+000 -6,6015e-003
 2,451668146486e-003  2,0000e+000 -7,6980e-003
 2,461668146486e-003  2,0000e+000 -8,7492e-003
 2,471668146486e-003  2,0000e+000 -9,7557e-003
 2,481668146486e-003  2,0000e+000 -1,0719e-002
 2,491668146486e-003  2,0000e+000 -1,1639e-002
 2,501668146486e-003  2,0000e+000 -1,2517e-002
 2,511668146486e-003  2,0000e+000 -1,3353e-002
 2,521668146486e-003  2,0000e+000 -1,4150e-002
 2,531668146486e-003  2,0000e+000 -1,4907e-002
 2,541668146486e-003  2,0000e+000 -1,5625e-002
 2,551668146486e-003  2,0000e+000 -1,6305e-002
 2,561668146486e-003  2,0000e+000 -1,6949e-002
 2,571668146486e-003  2,0000e+000 -1,7556e-002
 2,581668146486e-003  2,0000e+000 -1,8127e-002
 2,591668146486e-003  2,0000e+000 -1,8664e-002
 2,601668146486e-003  2,0000e+000 -1,9167e-002
